dist,npc_hp,npc_stamina,npc_current_action,player_hp,player_stamina,player_action,new_action
41,0.35,0.99,6,0.96,0.91,0,7
31,0.84,0.87,0,0.52,0.6,7,4
176,0.57,0.52,5,0.03,0.42,4,6
68,0.09,0.62,0,0.98,0.23,5,1
206,0.35,0.06,6,0.58,0.13,3,0
165,0.06,0.5,3,0.18,0.95,2,1
23,0.83,0.89,0,0.07,0.89,5,2
162,0.44,0.17,6,0.76,0.95,6,0
109,0.03,0.69,6,0.7,0.76,2,7
181,0.2,0.44,6,0.86,0.18,0,0
265,0.44,0.33,1,0.88,0.72,5,1
118,0.34,0.3,5,0.8,0.87,7,6
97,0.39,0.36,1,0.42,0.52,5,1
11,0.02,0.46,5,0.79,0.59,8,4
130,0.39,0.25,3,0.91,0.64,0,0
191,0.34,0.29,3,0.69,0.91,2,0
131,0.86,0.96,5,0.27,0.35,5,6
147,0.99,0.94,0,0.18,0.84,0,1
174,0.25,0.66,6,0.7,0.0,3,0
87,0.88,0.85,5,0.9,0.42,4,6
210,0.96,0.37,5,0.39,0.26,0,6
62,0.79,0.52,5,0.17,0.09,7,5
37,0.21,0.39,3,0.39,0.92,1,4
110,0.99,0.34,0,0.25,0.05,7,1
145,0.21,0.18,5,0.56,0.43,6,1
132,0.39,0.66,3,0.77,0.65,4,1
75,0.59,0.42,6,0.68,0.51,6,7
100,0.41,0.65,6,0.77,0.92,6,7
202,0.78,0.91,1,0.74,0.64,6,1
46,0.34,0.17,3,0.14,0.23,4,3
162,0.96,0.34,6,0.59,0.73,1,0
112,0.33,0.86,5,0.22,0.41,3,6
128,0.71,0.47,6,0.14,0.24,6,0
175,0.6,0.63,6,0.87,0.88,5,7
119,0.69,0.25,5,0.23,0.74,3,6
52,0.13,0.72,6,0.24,0.32,6,7
57,0.44,0.78,3,0.71,0.65,2,5
259,0.37,0.32,0,0.75,0.42,4,1
94,0.19,0.02,1,0.8,0.46,4,0
111,0.09,0.1,6,0.05,0.39,8,0
26,0.14,0.35,0,0.45,0.83,6,4
275,0.31,0.19,5,0.58,0.7,5,6
130,0.42,0.57,0,0.15,0.75,1,1
122,0.86,0.25,6,0.02,0.95,4,0
161,0.55,0.77,6,0.24,0.8,0,7
85,0.98,0.31,3,0.77,0.89,4,1
18,0.63,0.13,3,0.04,0.08,1,3
185,0.41,0.84,5,0.61,0.45,0,6
210,0.15,0.26,5,0.81,0.0,0,6
206,0.91,0.51,5,0.42,0.25,6,1
170,0.24,0.69,3,0.64,0.8,6,1
169,0.23,0.54,6,0.37,0.61,6,7
82,0.24,0.62,6,0.77,0.33,3,7
43,0.52,0.75,1,0.19,0.94,7,5
54,0.74,0.66,6,0.82,0.36,7,7
39,0.68,0.39,6,0.72,0.79,4,0
126,0.19,0.19,6,0.2,0.18,1,0
191,0.2,0.85,1,0.04,0.2,7,1
58,0.12,0.32,6,0.6,0.11,3,0
119,0.88,0.69,6,0.39,0.3,0,7
109,0.44,0.65,0,0.22,0.76,7,1
71,0.41,0.95,5,0.3,0.08,8,1
135,0.67,0.37,5,0.1,0.57,4,6
85,0.62,0.61,1,0.5,0.05,8,1
34,0.57,0.61,1,0.17,0.56,5,2
28,0.89,0.25,0,0.39,0.69,4,3
207,0.63,0.45,1,0.92,0.68,7,1
97,0.47,0.53,0,0.59,0.97,1,1
55,0.6,0.28,6,0.47,0.68,2,0
204,0.92,0.22,3,0.34,0.22,6,1
39,0.06,0.58,3,0.41,0.14,0,5
96,0.9,0.08,3,0.9,0.17,0,0
220,0.81,0.73,1,0.92,0.91,4,1
74,0.96,0.7,6,0.37,0.6,6,7
221,0.67,0.7,0,0.31,0.87,1,1
22,0.46,0.49,6,0.87,0.91,7,7
53,0.09,0.45,1,0.1,0.61,0,4
187,0.92,1.0,3,0.78,0.63,2,1
7,0.38,0.37,3,0.61,0.29,1,4
229,0.39,0.86,1,0.21,0.3,5,1
243,0.92,0.69,6,0.29,0.56,1,7
29,0.24,0.46,6,0.43,0.09,1,0
64,0.36,0.52,0,0.06,0.95,5,1
89,0.51,0.17,6,0.75,0.05,0,0
119,0.25,0.75,0,0.97,0.57,1,1
138,0.97,0.63,6,0.98,0.03,2,0
21,0.54,0.3,3,0.08,0.4,3,0
20,0.79,0.04,3,0.39,0.46,4,3
112,0.51,0.48,1,0.65,0.61,2,1
117,0.19,0.97,1,0.27,0.66,3,1
170,0.97,0.34,5,0.01,0.93,4,6
61,0.73,0.25,0,0.62,0.65,8,1
38,0.1,0.99,3,0.93,0.43,0,4
39,0.34,0.08,0,0.02,0.94,8,4
46,0.75,0.13,5,0.54,0.52,0,6
29,0.51,0.69,0,0.7,0.22,1,4
79,0.27,0.48,5,0.21,0.29,7,6
163,0.59,0.57,5,0.58,0.55,6,1
55,0.35,0.53,5,0.31,0.48,2,6
59,0.9,0.36,1,0.29,0.05,4,3
121,0.11,0.33,3,0.26,0.99,4,1
28,0.62,0.68,6,0.73,0.73,8,7
27,0.45,0.28,6,0.52,0.19,3,0
216,0.24,0.39,0,0.81,0.2,0,1
40,0.79,0.84,5,0.76,0.61,6,5
74,0.84,0.9,0,0.86,0.7,5,1
52,0.87,0.59,6,0.89,0.42,7,7
180,0.73,0.12,5,0.63,0.23,4,6
45,0.03,0.43,0,0.41,0.73,2,4
234,0.15,0.94,0,0.45,0.66,1,1
167,0.35,0.41,6,0.92,0.53,3,7
